Chip,File1,File2,Intra-Hamming Distance,Percentage(%)
Chip 1,TV_0,TV_1,717,0.030291393061876823
Chip 1,TV_0,TV_2,0,0.0
Chip 1,TV_0,TV_3,421,0.017786159663947202
Chip 1,TV_0,TV_4,1954,0.08255143939038677
Chip 1,TV_0,TV_5,1,4.224741012814062e-05
Chip 1,TV_0,TV_6,292,0.01233624375741706
Chip 1,TV_0,TV_7,15525,0.6558910422393831
Chip 1,TV_0,TV_8,620,0.026193394279447182
Chip 1,TV_0,TV_9,431,0.018208633765228608
Chip 1,TV_0,TV_10,217,0.009167687997806514
Chip 1,TV_0,TV_11,90,0.0038022669115326557
Chip 1,TV_0,TV_12,10012,0.42298107020294384
Chip 3,TV_0,TV_1,0,0.0
Chip 3,TV_0,TV_2,0,0.0
Chip 3,TV_0,TV_3,0,0.0
Chip 3,TV_0,TV_4,2,0.0004232293670393201
Chip 3,TV_0,TV_5,0,0.0
Chip 3,TV_0,TV_6,0,0.0
Chip 3,TV_0,TV_7,76,0.016082715947494167
Chip 3,TV_0,TV_8,0,0.0
Chip 3,TV_0,TV_9,0,0.0
Chip 3,TV_0,TV_10,0,0.0
Chip 3,TV_0,TV_11,0,0.0
Chip 3,TV_0,TV_12,42,0.008887816707825721
Chip 5,TV_0,TV_1,0,0.0
Chip 5,TV_0,TV_2,0,0.0
Chip 5,TV_0,TV_3,0,0.0
Chip 5,TV_0,TV_4,0,0.0
Chip 5,TV_0,TV_5,0,0.0
Chip 5,TV_0,TV_6,0,0.0
Chip 5,TV_0,TV_7,4,0.001527562964235932
Chip 5,TV_0,TV_8,0,0.0
Chip 5,TV_0,TV_9,0,0.0
Chip 5,TV_0,TV_10,0,0.0
Chip 5,TV_0,TV_11,0,0.0
Chip 5,TV_0,TV_12,0,0.0
Chip 7,TV_0,TV_1,0,0.0
Chip 7,TV_0,TV_2,0,0.0
Chip 7,TV_0,TV_3,0,0.0
Chip 7,TV_0,TV_4,0,0.0
Chip 7,TV_0,TV_5,0,0.0
Chip 7,TV_0,TV_6,0,0.0
Chip 7,TV_0,TV_7,0,0.0
Chip 7,TV_0,TV_8,0,0.0
Chip 7,TV_0,TV_9,0,0.0
Chip 7,TV_0,TV_10,0,0.0
Chip 7,TV_0,TV_11,0,0.0
Chip 7,TV_0,TV_12,0,0.0
